TIMESTAMP;Tair_Avg;RH_Avg;WS_Avg;SolRad_Out_Avg;Tair_in_1_Avg;RH_in_1_Avg;Sol_in_1_Avg;Par_in_1_Avg;Tair_in_2_Avg;RH_in_2_Avg;Sol_in_2_Avg;Par_in_2_Avg;Tin_Avg;RHin_Avg;Solin_Avg;Par_Avg
2022-02-14 14:10:00;17.04;49.55;1.223;460.7;38.57;16.69;174.1;334.7;38.96;22.38;153.9;365;38.765;19.535;164;349.85
2022-02-14 14:20:00;16.49;50.71;0.855;196.2;35.26;20.94;109.2;220.9;36.23;25.41;89.8;235.4;35.745;23.175;99.5;228.15
2022-02-14 14:30:00;15.56;55.32;1.54;492.6;33.23;21.73;182.9;347.1;33.93;27.11;150;353.3;33.58;24.42;166.45;350.2
2022-02-14 14:40:00;15.85;53.97;0.872;398.4;33.94;20.58;181.7;341.8;34.42;26.09;162.9;359.8;34.18;23.335;172.3;350.8
2022-02-14 14:50:00;15.63;55.35;0.876;279.1;32.21;24.02;160.7;308.2;33.57;27.49;134.8;324.6;32.89;25.755;147.75;316.4
2022-02-14 15:00:00;15.35;55.45;1.562;231.8;30.51;26.4;135.7;265.6;32.25;29.1;117.1;284.6;31.38;27.75;126.4;275.1
2022-02-14 15:10:00;15.19;55.74;1.433;237.1;29.04;28.25;135.9;264;30.93;30.98;113.6;279.5;29.985;29.615;124.75;271.75
2022-02-14 15:20:00;15.16;55.85;1.179;215.7;27.84;30.27;126.8;244.8;29.95;32.52;102.5;257.2;28.895;31.395;114.65;251
2022-02-14 15:30:00;15.26;54.37;1.664;242.6;27.06;31.17;136.4;264.6;29.35;33.01;115.6;278.8;28.205;32.09;126;271.7
2022-02-14 15:40:00;15.05;54.64;1.639;188.8;26.39;32.12;113.9;213.9;28.58;33.49;94.2;231.2;27.485;32.805;104.05;222.55
2022-02-14 15:50:00;15.09;54.41;1.666;211;25.83;32.41;133.4;236.3;28;34.57;106.9;253.3;26.915;33.49;120.15;244.8
2022-02-14 16:00:00;15.13;53.73;1.968;217.2;25.52;32.84;115.3;211.9;27.76;34.48;98.1;235;26.64;33.66;106.7;223.45
2022-02-14 16:10:00;15.16;53.57;1.72;178.1;25.1;33.38;106.6;201.2;27.23;35.3;88.6;215.4;26.165;34.34;97.6;208.3
2022-02-14 16:20:00;15.18;53.67;1.734;188.2;24.7;33.96;107.2;197.8;26.83;35.79;94.2;217.6;25.765;34.875;100.7;207.7
2022-02-14 16:30:00;15.61;49.55;1.77;370.7;24.96;32.59;139.3;244.1;27.67;33.4;129.8;281.8;26.315;32.995;134.55;262.95
2022-02-14 16:40:00;15.67;47.38;2.12;232;25.26;31.99;75.23;141.8;29.23;29.68;105;205.2;27.245;30.835;90.115;173.5
2022-02-14 16:50:00;15.42;49.07;1.616;193.3;24.86;32.43;52.17;105;30.43;27.97;102.2;223.7;27.645;30.2;77.185;164.35
2022-02-14 17:00:00;15.09;50.22;1.842;153.2;24.24;30.47;52.84;98.4;28.62;28.92;61.88;139.5;26.43;29.695;57.36;118.95
2022-02-14 17:10:00;14.92;52.42;1.874;167.7;23.73;30.23;63.89;109.9;25.99;31.93;68.67;142.2;24.86;31.08;66.28;126.05
2022-02-14 17:20:00;14.8;52.35;1.531;139.9;23.2;32.56;59.28;98.5;25.28;33.81;54.19;110.3;24.24;33.185;56.735;104.4
2022-02-14 17:30:00;14.59;51.15;1.487;82.2;22.63;34.19;39.01;64.92;24.49;36.01;36.38;68.38;23.56;35.1;37.695;66.65
2022-02-14 17:40:00;14.36;52.05;0.678;44.8;21.68;36.63;28.92;42.02;23.27;38.97;25.21;44.11;22.475;37.8;27.065;43.065
2022-02-14 17:50:00;14.1;55.3;0.693;31.51;20.68;39.33;24.21;26.86;22.12;42.12;18.11;28.08;21.4;40.725;21.16;27.47
2022-02-14 18:00:00;13.51;64.09;0.642;13.47;19.6;42.88;15.85;15.51;20.96;45.47;10.26;16.52;20.28;44.175;13.055;16.015
2022-02-14 18:10:00;13.02;66.46;0.195;1.489;18.59;46.17;9.13;8.48;19.86;48.68;9.06;8.49;19.225;47.425;9.095;8.485
2022-02-14 18:20:00;12.58;67.88;0.229;0;17.65;49.29;4.708;3.43;18.84;51.84;8.91;3.371;18.245;50.565;6.809;3.4005
